代碼,名稱,收盤價,成交量,季線(MA60),最新形態,推薦指數,季線之上
00700,富邦恒生國企,17.91,395701,16.833166666666667,黑K吞噬,-24 分 💣,True
009817,國泰日本不動產,9.34,595107,8.958333333333334,黑K吞噬,-24 分 💣,True
1626,艾美特-KY,9.72,48996,10.202833333333334,黑K吞噬,-48 分 💣,False
1903,士紙,47.05,172446,48.30166666666666,黑K吞噬,-48 分 💣,False
2616,山隆,13.25,104189,13.610833333333334,黑K吞噬,-48 分 💣,False
3443,創意,4145.0,3005664,4545.25,黑K吞噬,-60 分 💣,False
6902,GOGOLOOK,120.5,139172,129.05,黑K吞噬,-48 分 💣,False
6957,裕慶-KY,210.5,116443,195.69166666666666,黑K吞噬,-24 分 💣,True
9905,大華,20.6,121170,20.84083333333333,黑K吞噬,-48 分 💣,False
