代碼,名稱,收盤價,成交量,季線(MA60),最新形態,推薦指數,季線之上
3308,聯德,19.95,62344,20.785000000000004,內困型態,15 分 ⏳,False
3376,新日興,179.5,1919677,200.13333333333333,內困型態,15 分 ⏳,False
3380,明泰,29.25,1245182,33.2425,內困型態,15 分 ⏳,False
3419,譁裕,12.0,62576,13.536666666666665,內困型態,15 分 ⏳,False
3518,柏騰,25.8,260209,30.5675,內困型態,15 分 ⏳,False
3530,晶相光,54.4,128527,64.63000000000001,內困型態,15 分 ⏳,False
3576,聯合再生,16.6,8391148,17.706666666666667,內困型態,15 分 ⏳,False
3596,智易,180.5,625292,186.35833333333332,內困型態,15 分 ⏳,False
3622,洋華,53.7,182883,55.64666666666667,內困型態,15 分 ⏳,False
3653,健策,4145.0,2786267,3544.0833333333335,攻擊K線,100 分 🚀,True
4439,冠星-KY,101.5,7905,94.72333333333334,內困型態,30 分 ⏳,True
4551,智伸科,163.0,410126,183.025,多頭吞噬,30 分 ⏳,False
4562,穎漢,30.1,123466,35.876666666666665,內困型態,15 分 ⏳,False
4581,光隆精密-KY,51.3,18037,50.17916666666667,多頭吞噬,60 分 ⏳,True
4582,聚恆-創,27.5,138008,26.37156862745098,多頭吞噬,60 分 ⏳,True
4585,達明,287.0,163384,319.84166666666664,內困型態,15 分 ⏳,False
4763,材料*-KY,48.45,8866673,45.48166666666667,內困型態,30 分 ⏳,True
4766,南寶,319.0,162261,353.55833333333334,內困型態,15 分 ⏳,False
4771,望隼,187.5,80798,194.31666666666666,內困型態,15 分 ⏳,False
4968,立積,99.5,738185,109.83,多頭吞噬,30 分 ⏳,False
4976,佳凌,37.3,5857134,34.7975,內困型態,30 分 ⏳,True
5234,達興材料,320.5,206993,382.175,內困型態,15 分 ⏳,False
5519,隆大,28.05,117411,31.805,多頭吞噬,30 分 ⏳,False
5533,皇鼎,13.95,86184,13.999166666666666,內困型態,15 分 ⏳,False
5546,永固-KY,13.8,13904,16.246666666666666,多頭吞噬,30 分 ⏳,False
5871,中租-KY,111.5,5026552,114.85,內困型態,15 分 ⏳,False
6115,鎰勝,45.1,113364,47.3075,內困型態,15 分 ⏳,False
6196,帆宣,492.0,1521506,510.31666666666666,內困型態,15 分 ⏳,False
6206,飛捷,140.0,5730423,131.7,攻擊K線,100 分 🚀,True
6243,迅杰,50.5,3377689,39.142500000000005,多頭吞噬,60 分 ⏳,True
6414,樺漢,436.5,2019031,386.3666666666667,內困型態,30 分 ⏳,True
6472,保瑞,392.0,414390,396.21666666666664,內困型態,15 分 ⏳,False
6533,晶心科,225.5,800299,215.5,內困型態,30 分 ⏳,True
6550,北極星藥業-KY,11.05,703141,13.560833333333333,內困型態,15 分 ⏳,False
6598,ABC-KY,31.5,485328,25.09416666666667,內困型態,30 分 ⏳,True
6641,基士德-KY,17.7,34194,18.204166666666666,多頭吞噬,30 分 ⏳,False
6657,華安,30.65,69538,36.245,多頭吞噬,30 分 ⏳,False
6719,力智,208.5,1058021,240.975,內困型態,15 分 ⏳,False
6792,詠業,55.4,26000,62.6025,多頭吞噬,30 分 ⏳,False
6807,峰源-KY,35.3,26008,33.6675,多頭吞噬,90 分 🔥,True
6861,睿生光電,206.0,349336,324.7583333333333,多頭吞噬,30 分 ⏳,False
6863,永道-KY,134.0,342031,105.49000000000001,內困型態,30 分 ⏳,True
6887,寶綠特-KY,38.0,63222,35.825,多頭吞噬,90 分 🔥,True
6919,康霈*,108.0,6781755,101.22333333333334,內困型態,30 分 ⏳,True
6921,嘉雨思-創,59.8,32386,70.16,內困型態,15 分 ⏳,False
6931,青松健康,37.6,52020,40.07000000000001,內困型態,15 分 ⏳,False
7750,新代,2330.0,650457,2227.4166666666665,攻擊K線,120 分 🚀,True
7799,禾榮科,355.0,312509,368.7916666666667,多頭吞噬,30 分 ⏳,False
8045,達運光電,55.2,89576,63.175,內困型態,15 分 ⏳,False
8070,長華*,46.9,2023065,51.608333333333334,內困型態,15 分 ⏳,False
8201,無敵,11.5,19129,12.8525,內困型態,15 分 ⏳,False
8367,建新國際,40.65,28770,40.677499999999995,多頭吞噬,30 分 ⏳,False
8422,可寧衛*,26.25,5403753,27.1725,內困型態,15 分 ⏳,False
8467,波力-KY,99.0,10108,119.06,多頭吞噬,30 分 ⏳,False
8473,山林水,41.35,429285,45.620000000000005,多頭吞噬,30 分 ⏳,False
8476,台境*,20.2,463085,20.008333333333333,多頭吞噬,60 分 ⏳,True
8481,政伸,40.2,17136,41.135,多頭吞噬,30 分 ⏳,False
9105,泰金寶-DR,8.3,13894823,8.578333333333335,內困型態,15 分 ⏳,False
911622,泰聚亨-DR,3.68,150686,3.7275,多頭吞噬,45 分 ⏳,False
9940,信義,20.4,506144,19.4925,內困型態,30 分 ⏳,True
9946,三發地產,17.9,160777,18.086666666666666,多頭吞噬,30 分 ⏳,False
